rubric,source,link,title
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/abbb0305-f468-5e28-a2f8-1f05bdc5069e?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776491364&cl4url=d004c4de0eddac593c35fba1c76b725b&story=30edaa88-7548-5715-87d7-6c1d5379ca85,Более 550 жителей Петербурга пострадали от укуса клеща за неделю
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/3fb78d22-70a4-5d57-8f9b-1516b32d5760?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&tt=true&persistent_id=2776499448&cl4url=ba836c1edc30c998f63d6a56e39c5187&story=2eafcd35-db00-5d52-8e6d-08bde4608ed5,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/31660035-f2eb-5d33-8919-ab8a60b09469?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776463909&cl4url=fd47680a3560bf612cfde6a0d5a7e815&story=27bfe46c-bc67-5dc0-9a90-326c7c68489f,"В четверг, 16 мая, в Петербурге пройдут дожди и усилится ветер"
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/0b1d789c-bc36-53f0-ba82-0ab2594f17d0?lang=ru&rubric=Saint_Petersburg&fan=1&t=1715873725&persistent_id=2776493683&cl4url=a4e11c8aa2f390124b2fc0482726af75&story=01a3c4b5-9f01-557a-b04f-3fd01dd4b1de,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/635970ad-d44f-5f5f-b57c-16ec9a74141a?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776443574&cl4url=8e17e0be2e9bb579595d97506b7bad66&story=6528f570-0054-5ea7-b46d-82d8a1a043e1,Тренер «Зенита» опроверг новости о штрафах за поражение от ЦСКА в чемпионате
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/f5f00d76-febf-590c-8584-feb57b85ed31?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776483808&cl4url=371f64796774e2a5c5695c71e3dbc4e0&story=8c81c793-5c31-54f5-ad57-29920dc1ebda,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/f9dd5559-e884-56a4-be82-ab6e304118e1?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776436536&cl4url=d1cd928bf7f7909bb9e0f5f9764b3394&story=f20b7296-6f2c-5752-b392-3b19d1bb8a89,В компании Urent опровергли информацию об обысках
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/0e21f6ea-95c4-5ff2-81a8-7b5405eea40c?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776496957&cl4url=ada6f7e0b8628c240f5dd22aeec14079&story=8368bb33-71ca-57c3-a1a4-30603bf4419e,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/5e66f332-981e-531a-afb2-df5a3062a411?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776416192&cl4url=57a7d36b011727baca41dc69d5f894af&story=cc5b7e31-38d4-5bc6-afaf-3c4dd6f0d4f2,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/2697a235-2ea5-523f-9b1d-104d5dbcb18a?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776491617&cl4url=25723bdc95597b9ae1543f5f1622d12c&story=f3689661-1acc-5dc1-826e-714ac4590e60,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/20d164d0-6a09-5040-af7d-dd92e22eb2a5?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776294807&cl4url=af7c65ee9d848575b457b55be9adb823&story=57e311b1-5035-5583-a53c-1d467cbe14cf,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/03a3f899-bbf7-5e05-96fd-153504379bcd?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776362385&cl4url=a2974cca9d1c3c2b57dd7434da225964&story=298620c9-88b6-5107-ad06-4455a517fb5f,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/ec8a9c2a-6edb-51d0-a176-fa0865e7fae4?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776491609&cl4url=c5ca01c290af988df79515cf4283e388&story=9ecff2bb-fb99-5d2a-8b07-6788dc642efd,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/ad7e81c8-b20b-54e9-9c20-f3c7cf14f87d?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776485422&cl4url=d34d0a48cba410ebc8eee1d86f469068&story=e97a3ab9-3082-5b0a-8ac2-1207243b9449,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/6c66888d-4ef8-5663-b4f4-6da603b77099?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776477559&cl4url=711a5e7dc90bce12849d5a2e514420a8&story=044e8be6-4488-5d59-aa1d-ff6ca2a5991c,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/a33d2ef4-5d65-55d3-acc0-7e7a4af217ec?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776471590&cl4url=6af7115bd11f01333b5e30f43e34c9ee&story=488c9a5c-9e35-5c17-96bb-6b2de3b1036a,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/2812d8c6-70f9-5b28-80da-a7a33b42679d?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776390446&cl4url=6d904eb425d272029372a7b31e58d731&story=09a77a81-8d86-52c3-8b4a-f487df2427d5,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/38074a63-e153-52c7-ae84-83d2200d16d6?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776357581&cl4url=174dafd806fc6ee910a1feffde123c54&story=6380b1af-b63b-5557-ab5f-f15545d8937f,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/fe493d0d-ac33-5e2b-9d3a-2f1f72483707?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776442940&cl4url=2f50a951bfbb95958343e52dd2f3a339&story=8b38ec22-8dac-5a59-9a3e-ef6883130cb9,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/26bad67e-6197-5775-a0f9-e69c565cb79d?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776475941&cl4url=4a5f17f0f11ba458295e26b461f696ad&story=48bbebc9-eeb5-500a-8ced-5e9ef925c365,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/279c0446-8b8c-5db0-86b7-a6cc673a4adf?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776445618&cl4url=7408da2a94649db8f52b9c077cfd26ef&story=1c4a225c-4a16-5717-a24c-666a9520b4ba,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/0896e0a8-4db6-58da-8736-892c95ff1803?lang=ru&rubric=culture&fan=1&t=1715873725&persistent_id=2776470546&cl4url=14bef1e1bf98a7d5b83736c70d74c330&story=d00aac41-3d21-5c3c-9f3e-1d2189533c82,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/485bf459-59c7-5dcb-b2bb-e102421093c7?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776451266&cl4url=321caa9c69899fe2e16b3a050586d6ea&story=1e67b0ba-36b0-59b1-aa9d-8e1e57acf4f7,Вышел трейлер второго сезона сериала «Дом Дракона»
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/1ad5fce1-b357-52de-ae71-939a7bb03612?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776490038&cl4url=e5a9698c98607cb35c4df50b96a98dce&story=f7bc5b26-b624-5822-9d0d-204b5bc36e33,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/2ed0a1be-05a7-5d47-8da9-6f505e76d5fa?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776489905&cl4url=9a81201ac487ecdcfa5ab344eb925dca&story=6e680084-5b3d-5da0-afb1-fd191a2e2c16,"Певец Владимир Пресняков выразил надежду, что у его сына в США все хорошо"
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/a4800c3a-774e-5be1-b2b9-4f544b59f4fe?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776474427&cl4url=60f618b2e492afb34a32a5574ea02660&story=3fbc7a82-0b1e-5f8b-975e-d9334dd2e763,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/63d99c15-2bbf-518f-ad39-04d1e6c52c96?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776425046&cl4url=a687e9ad328d2f21e36ac2cfd6d635db&story=7cef405b-5685-594a-aeee-bd90c8beaa0c,Александр Домогаров сразу после увольнения из Театра Моссовета отправится в Читу
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/d5571935-051d-590e-954b-a0ba36642b55?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776470663&cl4url=cf2c58e875a461ff9f4c0b07d50841cd&story=de4f1b77-0815-51ab-b5f4-443f39dab4b4,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/4be11155-47b0-5e10-a153-7dcd356afd7b?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776495367&cl4url=828b037997dcbb8529443b5f5672b7e8&story=9e490a36-cd31-5def-b16c-db29a2a338f9,В сети появились первые кадры с Лиамом Хемсвортом в роли Ведьмака
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/53f0daa6-eb36-5e61-bb33-f418898732f4?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776471231&cl4url=917525c3407489d5f6d3497387e34a4c&story=590302bb-eacd-5a62-9e50-781aa8733202,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/8522afc6-91f6-5a1e-a2ff-0c56b0c1873a?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776502357&cl4url=6fb030a57a60fc0a632668216878e168&story=1a206d3f-b6aa-5b72-9051-7f90d7e2b44f,77-й Каннский фестиваль 2024 начался на Лазурном берегу во Франции
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/ddaa6566-729e-52b2-89e4-ac354eff31cf?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776499982&cl4url=3ababdc60dcd1d80df54781fbe650d3e&story=e828ee46-ff85-58bf-b516-43381d3e3c1c,
Санкт-Петербург,other sorces,https://dzen.ruhttps://dzen.ru/news/story/947c69d8-34e2-5497-8218-968c778aae2d?lang=ru&rubric=computers&fan=1&t=1715873725&persistent_id=2776499843&cl4url=91c2515442f8c83f21ff215e9d15a3f7&story=4eed2c76-f5aa-59dc-bd21-d656ebaf621e,Театры Астрахани выступят на литфестивале
